Linha,624
Tabela,001
num,ponto,horario
150443,BAIRRO VILA SAO PEDRO,05:00
104811,TERMINAL CAPAO RASO,05:20
150443,BAIRRO VILA SAO PEDRO,05:40
104811,TERMINAL CAPAO RASO,06:00
150443,BAIRRO VILA SAO PEDRO,06:20
104811,TERMINAL CAPAO RASO,06:41
150443,BAIRRO VILA SAO PEDRO,07:01
104811,TERMINAL CAPAO RASO,07:26
150443,BAIRRO VILA SAO PEDRO,07:46
104811,TERMINAL CAPAO RASO,08:09
150443,BAIRRO VILA SAO PEDRO,08:29
104811,TERMINAL CAPAO RASO,08:51
150443,BAIRRO VILA SAO PEDRO,09:11
104811,TERMINAL CAPAO RASO,09:32
150443,BAIRRO VILA SAO PEDRO,09:53
104811,TERMINAL CAPAO RASO,10:14
150443,BAIRRO VILA SAO PEDRO,10:35
104811,TERMINAL CAPAO RASO,10:56
150443,BAIRRO VILA SAO PEDRO,11:17
104811,TERMINAL CAPAO RASO,11:38
150443,BAIRRO VILA SAO PEDRO,11:59
104811,TERMINAL CAPAO RASO,12:20
150443,BAIRRO VILA SAO PEDRO,12:42
104811,TERMINAL CAPAO RASO,13:03
150443,BAIRRO VILA SAO PEDRO,13:26
104811,TERMINAL CAPAO RASO,13:47
150443,BAIRRO VILA SAO PEDRO,14:09
104811,TERMINAL CAPAO RASO,14:30
150443,BAIRRO VILA SAO PEDRO,14:51
104811,TERMINAL CAPAO RASO,15:12
150443,BAIRRO VILA SAO PEDRO,15:34
104811,TERMINAL CAPAO RASO,15:54
150443,BAIRRO VILA SAO PEDRO,16:17
104811,TERMINAL CAPAO RASO,16:38
150443,BAIRRO VILA SAO PEDRO,17:02
104811,TERMINAL CAPAO RASO,17:24
150443,BAIRRO VILA SAO PEDRO,17:52
104811,TERMINAL CAPAO RASO,18:14
150443,BAIRRO VILA SAO PEDRO,18:44
104811,TERMINAL CAPAO RASO,19:05
150443,BAIRRO VILA SAO PEDRO,19:27
104811,TERMINAL CAPAO RASO,19:48
150443,BAIRRO VILA SAO PEDRO,20:10
104811,TERMINAL CAPAO RASO,20:30
150443,BAIRRO VILA SAO PEDRO,20:51
104811,TERMINAL CAPAO RASO,21:11
150443,BAIRRO VILA SAO PEDRO,21:31
104811,TERMINAL CAPAO RASO,21:51
150443,BAIRRO VILA SAO PEDRO,22:11
104811,TERMINAL CAPAO RASO,22:30
150443,BAIRRO VILA SAO PEDRO,22:49
104811,TERMINAL CAPAO RASO,23:08
150443,BAIRRO VILA SAO PEDRO,23:27
104811,TERMINAL CAPAO RASO,23:46
150443,BAIRRO VILA SAO PEDRO,00:05
104811,TERMINAL CAPAO RASO,00:24
