Linha,250
Tabela,038
num,ponto,horario
105933,TERMINAL PINHEIRINHO,06:44
108023,ESTACAO TUBO CENTRAL/NORTE,07:12
105934,TERMINAL SANTA CANDIDA,07:35
108024,ESTACAO TUBO CENTRAL/SUL,07:54
105933,TERMINAL PINHEIRINHO,08:29
108023,ESTACAO TUBO CENTRAL/NORTE,08:58
105934,TERMINAL SANTA CANDIDA,09:22
108024,ESTACAO TUBO CENTRAL/SUL,09:40
105933,TERMINAL PINHEIRINHO,10:14
108023,ESTACAO TUBO CENTRAL/NORTE,10:42
105934,TERMINAL SANTA CANDIDA,11:06
108024,ESTACAO TUBO CENTRAL/SUL,11:24
105933,TERMINAL PINHEIRINHO,11:59
108023,ESTACAO TUBO CENTRAL/NORTE,12:27
105934,TERMINAL SANTA CANDIDA,12:51
108024,ESTACAO TUBO CENTRAL/SUL,13:09
105933,TERMINAL PINHEIRINHO,13:44
108023,ESTACAO TUBO CENTRAL/NORTE,14:12
105934,TERMINAL SANTA CANDIDA,14:36
108024,ESTACAO TUBO CENTRAL/SUL,14:54
105933,TERMINAL PINHEIRINHO,15:28
108023,ESTACAO TUBO CENTRAL/NORTE,15:57
105934,TERMINAL SANTA CANDIDA,16:21
108024,ESTACAO TUBO CENTRAL/SUL,16:40
105933,TERMINAL PINHEIRINHO,17:19
108023,ESTACAO TUBO CENTRAL/NORTE,17:48
105934,TERMINAL SANTA CANDIDA,18:13
108024,ESTACAO TUBO CENTRAL/SUL,18:32
