Linha,706
Tabela,008
num,ponto,horario
105001,TERMINAL CAIUA,09:16
105302,TERM.FAZENDINHA SENTIDO CENTRO,09:26
102016,PRACA RUI BARBOSA,09:56
105311,TERM.FAZENDINHA/TERM.CAIUA,10:24
105001,TERMINAL CAIUA,10:36
105302,TERM.FAZENDINHA SENTIDO CENTRO,10:46
102016,PRACA RUI BARBOSA,11:16
105311,TERM.FAZENDINHA/TERM.CAIUA,11:46
105001,TERMINAL CAIUA,12:00
105302,TERM.FAZENDINHA SENTIDO CENTRO,12:10
102016,PRACA RUI BARBOSA,12:42
105311,TERM.FAZENDINHA/TERM.CAIUA,13:12
105001,TERMINAL CAIUA,13:26
105302,TERM.FAZENDINHA SENTIDO CENTRO,13:36
102016,PRACA RUI BARBOSA,14:08
105311,TERM.FAZENDINHA/TERM.CAIUA,14:37
105001,TERMINAL CAIUA,14:51
105302,TERM.FAZENDINHA SENTIDO CENTRO,15:01
102016,PRACA RUI BARBOSA,15:31
105311,TERM.FAZENDINHA/TERM.CAIUA,16:01
105001,TERMINAL CAIUA,16:15
105302,TERM.FAZENDINHA SENTIDO CENTRO,16:25
102016,PRACA RUI BARBOSA,16:55
105311,TERM.FAZENDINHA/TERM.CAIUA,17:25
105001,TERMINAL CAIUA,17:39
105302,TERM.FAZENDINHA SENTIDO CENTRO,17:49
102016,PRACA RUI BARBOSA,18:19
105311,TERM.FAZENDINHA/TERM.CAIUA,18:51
105001,TERMINAL CAIUA,19:07
105302,TERM.FAZENDINHA SENTIDO CENTRO,19:17
102016,PRACA RUI BARBOSA,19:47
105311,TERM.FAZENDINHA/TERM.CAIUA,20:17
105001,TERMINAL CAIUA,20:31
105302,TERM.FAZENDINHA SENTIDO CENTRO,20:41
102016,PRACA RUI BARBOSA,21:06
105311,TERM.FAZENDINHA/TERM.CAIUA,21:34
105001,TERMINAL CAIUA,21:44
105302,TERM.FAZENDINHA SENTIDO CENTRO,21:52
102016,PRACA RUI BARBOSA,22:16
105311,TERM.FAZENDINHA/TERM.CAIUA,22:44
105001,TERMINAL CAIUA,22:54
105302,TERM.FAZENDINHA SENTIDO CENTRO,23:02
102016,PRACA RUI BARBOSA,23:26
105311,TERM.FAZENDINHA/TERM.CAIUA,23:51
105001,TERMINAL CAIUA,00:01
105302,TERM.FAZENDINHA SENTIDO CENTRO,00:09
102016,PRACA RUI BARBOSA,00:29
105311,TERM.FAZENDINHA/TERM.CAIUA,00:49
