Linha,685
Tabela,004
num,ponto,horario
170966,LOTEAMENTO RIO BONITO,05:43
105207,TERMINAL CIC,06:30
170966,LOTEAMENTO RIO BONITO,07:12
105207,TERMINAL CIC,08:07
170966,LOTEAMENTO RIO BONITO,08:49
105207,TERMINAL CIC,09:30
170966,LOTEAMENTO RIO BONITO,10:10
105207,TERMINAL CIC,10:51
170966,LOTEAMENTO RIO BONITO,11:31
105207,TERMINAL CIC,12:12
170966,LOTEAMENTO RIO BONITO,12:52
105207,TERMINAL CIC,13:33
170966,LOTEAMENTO RIO BONITO,14:13
105207,TERMINAL CIC,14:55
170966,LOTEAMENTO RIO BONITO,15:37
105207,TERMINAL CIC,16:19
170966,LOTEAMENTO RIO BONITO,17:09
105207,TERMINAL CIC,18:04
170966,LOTEAMENTO RIO BONITO,18:57
105207,TERMINAL CIC,19:39
170966,LOTEAMENTO RIO BONITO,20:24
105207,TERMINAL CIC,21:08
170966,LOTEAMENTO RIO BONITO,21:50
105207,TERMINAL CIC,22:32
170068,MONDELEZ / BAIRRO,22:50
170966,LOTEAMENTO RIO BONITO,23:07
105207,TERMINAL CIC,23:46
