Linha,182
Tabela,002
num,ponto,horario
120080,PQ.SAO LOURENCO (SENT.BARREIRINHA),05:45
104107,TERMINAL BARREIRINHA,05:58
101021,PRACA TIRADENTES,06:30
104107,TERMINAL BARREIRINHA,07:04
101021,PRACA TIRADENTES,07:40
104107,TERMINAL BARREIRINHA,08:14
101021,PRACA TIRADENTES,08:52
104107,TERMINAL BARREIRINHA,09:27
101021,PRACA TIRADENTES,10:06
104107,TERMINAL BARREIRINHA,10:42
101021,PRACA TIRADENTES,11:23
104107,TERMINAL BARREIRINHA,11:59
101021,PRACA TIRADENTES,12:40
104107,TERMINAL BARREIRINHA,13:17
101021,PRACA TIRADENTES,13:57
104107,TERMINAL BARREIRINHA,14:35
101021,PRACA TIRADENTES,15:14
104107,TERMINAL BARREIRINHA,15:53
101021,PRACA TIRADENTES,16:31
104107,TERMINAL BARREIRINHA,17:09
101021,PRACA TIRADENTES,17:45
104107,TERMINAL BARREIRINHA,18:20
101021,PRACA TIRADENTES,18:55
104107,TERMINAL BARREIRINHA,19:30
101021,PRACA TIRADENTES,20:05
104107,TERMINAL BARREIRINHA,20:40
101021,PRACA TIRADENTES,21:15
104107,TERMINAL BARREIRINHA,21:50
101021,PRACA TIRADENTES,22:25
104107,TERMINAL BARREIRINHA,23:00
101021,PRACA TIRADENTES,23:35
104107,TERMINAL BARREIRINHA,00:07
